Company,City_Mpg,Fuel_Type,Highway_Mpg,Classification,Model Year,Year,Price
Audi,18,Gasoline,25,Automatic transmission,2009 Audi A3,2009,527016
Audi,22,Gasoline,28,Automatic transmission,2009 Audi A3,2009,794315
Audi,21,Gasoline,30,Manual transmission,2009 Audi A3,2009,745241
Audi,21,Gasoline,28,Automatic transmission,2009 Audi A3,2009,2203529
Audi,21,Gasoline,28,Automatic transmission,2009 Audi A3,2009,1890693
Audi,16,Gasoline,27,Manual transmission,2009 Audi A5,2009,2697084
Audi,17,Gasoline,26,Automatic transmission,2009 Audi A5,2009,2482573
Audi,13,Gasoline,18,Automatic transmission,2009 Audi Q7,2009,1367181
Audi,14,Gasoline,20,Automatic transmission,2009 Audi Q7,2009,2900210
Audi,22,Gasoline,30,Manual transmission,2009 Audi A4 Sedan,2009,940556
Audi,21,Gasoline,27,Automatic transmission,2009 Audi A4 Sedan,2009,2444598
Audi,17,Gasoline,26,Automatic transmission,2009 Audi A4 Sedan,2009,1483916
Acura,20,Gasoline,29,Automatic transmission,2012 Acura TL,2012,2496466
Acura,18,Gasoline,26,Automatic transmission,2012 Acura TL,2012,1708893
BMW,12,Gasoline,17,Automatic transmission,2010 BMW X5,2010,1079913
BMW,12,Gasoline,17,Automatic transmission,2011 BMW X5,2011,2740950
BMW,12,Gasoline,17,Automatic transmission,2010 BMW X6,2010,820482
BMW,12,Gasoline,17,Automatic transmission,2011 BMW X6,2011,2859605
Chevrolet,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado,2012,728316
Chevrolet,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado,2012,2388743
Chevrolet,18,Gasoline,25,Automatic transmission,2012 Chevrolet Colorado,2012,2909560
Chevrolet,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado,2011,611582
Chevrolet,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado,2011,2084477
Chevrolet,18,Gasoline,25,Automatic transmission,2011 Chevrolet Colorado,2011,1104912
Chevrolet,18,Gasoline,25,Manual transmission,2010 Chevrolet Colorado,2010,1454490
Chevrolet,20,Gasoline,26,Manual transmission,2010 Chevrolet Colorado,2010,1873789
Chevrolet,18,Gasoline,25,Automatic transmission,2010 Chevrolet Colorado,2010,1023349
Chevrolet,13,Gasoline,18,Automatic transmission,2012 Chevrolet Express,2012,2348312
Chevrolet,9,,12,Automatic transmission,2012 Chevrolet Express,2012,1569198
Chevrolet,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express,2011,2689433
Chevrolet,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express,2011,1808724
Chevrolet,8,,12,Automatic transmission,2011 Chevrolet Express,2011,1685752
Chevrolet,8,,12,Automatic transmission,2011 Chevrolet Express,2011,792060
Chevrolet,10,,13,Automatic transmission,2010 Chevrolet Express,2010,940507
Chevrolet,13,Gasoline,17,Automatic transmission,2010 Chevrolet Express,2010,1779710
Chevrolet,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500,2011,2449561
Chevrolet,14,Gasoline,19,Automatic transmission,2011 Chevrolet Silverado 1500,2011,524162
Chevrolet,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500,2011,1100155
Chevrolet,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500,2010,2467913
Chevrolet,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500,2010,2056249
Chevrolet,14,Gasoline,19,Automatic transmission,2010 Chevrolet Silverado 1500,2010,1107400
Nissan,18,Gasoline,26,Manual transmission,2011 Nissan 370Z Coupe,2011,1918859
Nissan,18,Gasoline,26,Manual transmission,2010 Nissan 370Z Coupe,2010,2311522
Nissan,18,Gasoline,26,Manual transmission,2009 Nissan 370Z Coupe,2009,674990
Volvo,21,Gasoline,29,Manual transmission,2011 Volvo C30,2011,2172489
Volvo,21,Gasoline,30,Automatic transmission,2011 Volvo C30,2011,1984072
Volvo,21,Gasoline,30,Automatic transmission,2010 Volvo C30,2010,1494974
Volvo,21,Gasoline,29,Manual transmission,2010 Volvo C30,2010,530440
Bentley,9,Gasoline,15,Automatic transmission,2010 Bentley Brooklands,2010,2288135
Bentley,8,,14,Automatic transmission,2012 Bentley Continental Supersports Convertible,2012,515063
Bentley,8,,14,Automatic transmission,2012 Bentley Continental Supersports Coupe,2012,1539345
Bentley,8,,14,Automatic transmission,2011 Bentley Continental Supersports Convertible,2011,2991820
Bentley,12,Gasoline,19,Automatic transmission,2010 Bentley Continental Supersports,2010,2734223
Bentley,8,,13,Automatic transmission,2012 Bentley Continental Flying Spur,2012,2733459
Bentley,11,Gasoline,19,Automatic transmission,2012 Bentley Continental Flying Spur,2012,931737
Bentley,10,Gasoline,17,Automatic transmission,2011 Bentley Continental Flying Spur,2011,2752616
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur,2010,2466494
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur,2010,2429128
Volvo,19,Gasoline,28,Automatic transmission,2011 Volvo C70,2011,1498370
Volvo,20,Gasoline,28,Manual transmission,2010 Volvo C70,2010,857199
Volvo,19,Gasoline,28,Automatic transmission,2010 Volvo C70,2010,1459436
Volvo,21,Gasoline,29,Manual transmission,2010 Volvo S40,2010,2182511
Volvo,21,Gasoline,30,Automatic transmission,2010 Volvo S40,2010,626432
Volvo,21,Gasoline,30,Automatic transmission,2011 Volvo S40,2011,2441668
Volvo,20,Gasoline,27,Manual transmission,2010 Volvo S40,2010,2339785
Volvo,20,Gasoline,30,Automatic transmission,2012 Volvo S60,2012,2560859
Volvo,18,Gasoline,26,Automatic transmission,2012 Volvo S60,2012,905414
Volvo,18,Gasoline,26,Automatic transmission,2012 Volvo S60,2012,2131170
Volvo,18,Gasoline,26,Automatic transmission,2011 Volvo S60,2011,1826120
Volvo,19,Gasoline,27,Automatic transmission,2011 Volvo S80,2011,1467011
Volvo,15,Gasoline,22,Automatic transmission,2010 Volvo S80,2010,2643898
Volvo,16,Gasoline,24,Automatic transmission,2010 Volvo S80,2010,1345878
Volvo,18,Gasoline,27,Automatic transmission,2010 Volvo S80,2010,1567821
